100784444-01	作者序言 

107114145-367	我会联系你的,

107114145-368	祝你好运!

107114145-369	而最危险的一点在于,节食本身正被视为一种正常,健康

107114145-370	而又魅力十足的行为.

107114145-371	每当阿马利娅看到这些"减肥励志帖"的图片时,会不自觉地将自己与照片中光鲜靓丽的模特相比较.

107114145-372	由于周围充斥着各种身材纤瘦的人物图片,

107114145-373	阿马利娅出现身体畸形恐惧症的迹象.

107114145-374	正如许多厌食主义网站的成员一样,

107114145-375	阿马利娅开始疯狂痴迷瘦削的身材,

107114145-376	并且对"瘦"的特定体征十分在意,

107114145-377	例如"大腿缝",

107114145-378	明显的锁骨,

107114145-379	形状突出的膝盖骨及肘关节.

107114145-380	据邦德博士说,厌食症患者会因自己禁受住食物的诱惑而深感自豪,

107114145-381	"他们很多人会将饥饿感与幸福感两者强行联系在一起.

107114145-382	"而阿马利娅却对此毫无置疑:

107114145-383	"我搞不懂这到底有什么错,

107114145-384	大家都想要大腿缝,人人都为它着迷.

107114145-385	"之后我在某厌食网站里找到了下面一条匿名评论:

107114145-386	我他妈的绝对不信!

107114145-387	就在周四,我还能看到自己的大腿缝,

107114145-388	结果一下子就没了.

107114145-389	就过了一晚上,

107114145-390	真的他妈就过了一晚上!

107114145-391	那条缝隙就没了,

107114145-392	我快要窒息了,

107114145-393	我对自己太失望了,

107114145-394	我怎么能让这种事情发生?

107114145-395	我怎么能这么放纵自己?

107114145-396	我访问的那些网站中,不论是分享经验,上传照片还是介绍手段方式,

107114145-397	信息量都多得令人瞠目结舌——

107114145-398	就像是一个自残共享资料库,

107114145-399	里面包含了诸多详尽的做法建议.

107114145-400	那时的阿马利娅开始仔细研读网站提供的减肥方法,

107114145-401	这类内容在站内通常被称为"厌食技巧",

107114145-402	如果遵守里面提到的一系列守则,减肥则是轻而易举的事:

107114145-403	守则一:

107114145-404	规定就是规定.

107114145-405	这一条非常重要.你必须严格要求自己,

107114145-406	如果你是一名真正的厌食主义者,

107114145-407	那么遵守纪律完全不成问题,

107114145-408	因为你有惊人的意志力!

107114145-409	规定就是一切,

107114145-410	制定自己的私人规定,且不定时进行更新.

107114145-411	守则十一:

107114145-412	吃饭之前喝一小杯苹果醋,

107114145-413	这会减少体内脂肪的吸收率.

107114145-414	如果过量饮用,则会有轻微的反胃和恶心感,有助于抑制食欲.

107114145-415	守则二十一:

107114145-416	记录下所有吃过的食物,并计算其卡路里.

107114145-417	这样做会让你在进食前谨慎三思,

107114145-418	也会时刻提醒你,目前吃了多少食物和卡路里.

107114145-419	守则二十七:

107114145-420	当肚子饿得咕咕叫时,

107114145-421	用力按压一下胃部.

107114145-422	咀嚼片也有助于消除饥饿

107114145-423	(一片五卡路里,小心别多吃).

107114145-424	守则三十四:

107114145-425	千万不要吃盒装及罐装食品,

107114145-426	把食物放在盘子里或者碗里再吃.

107114145-427	这样做一来可以确切地知道自己到底吃了多少,

107114145-428	二来可以提前计划好食物的分量,

107114145-429	避免一吃就停不下来的情况,

107114145-430	而且使用小盘子或小碗能让你吃得更少.

107114145-432	而在支持割腕自残的论坛里,我找到一篇经验帖,

107114145-433	告诉大家如何在父母和老师不知情的情况下自己割腕.

107114145-434	有位用户提问:

107114145-435	"我家人已经不让我买剃须刀了,

107114145-436	我还能用什么呢?"

107114145-437	紧跟着就有热心网友回复:

107114145-438	"细线,

107114145-439	订书针,别针,

107114145-440	尖头小石头,

107114145-441	碎灯泡的玻璃片,

107114145-442	甚至一些尖锐的塑料也能用."

107114145-443	我观察到类似的状况在自杀论坛中也有.

107114145-444	在英国,任何鼓励或者协助自杀的行为都是违法的,

107114145-445	即便你不认识自杀者,也没有参与到他人的自杀行为中,

107114145-446	只要有明显怂恿他人自杀的意图,就属于犯罪.

107114145-447	然而,

107114145-448	不论是在互联网还是线下,

107114145-449	探讨自杀话题以及提供信息咨询却是合乎法理的.

107114145-450	因为其中并不存在怂恿自杀的意图.

107114145-451	于是,一系列探讨自杀方式的相关论坛就诞生了,

107114145-452	例如ƖƩƞ小组.

107114145-453	在这里,既有泛泛之谈的问题,

107114145-454	例如有人提到

107114145-455	"我不打算采用伤害其他人的一些自杀方式,

107114145-456	卧轨什么的不要……

107114145-457	你能给点建议吗?"

107114145-458	也有详尽的细节教学,"

107114145-459	在去年禁售令发布之前,我买了四升高浓度的石硫混合喷雾,

107114145-460	但是我的车比一般的车要宽敞,

107114145-461	我不想最后搞得自杀未遂还浪费这么多存货,

107114145-462	所以我想问几个问题……"

107114145-463	在这种亚文化群组中,

107114145-464	危害性最高的当属技巧建议类的内容了,

107114145-465	因为这些内容将原本人们心中十分模糊且未经缜密思考的想法,转变为一系列可操作的具体方法指南.

107114145-466	每年,自杀者的数量高达两千万人,

107114145-467	然而大部分——

107114145-468	至少九十％的人——最终都是自杀未遂.

107114145-469	牛津大学自杀研究中心曾针对八百六十四位自杀未遂的人做过一项研究,询问他们自杀的意愿有多高,

107114145-470	超过三分之二的人表示

107114145-471	自杀意愿不大甚至很低.

107114145-472	二零零六年的一项研究结果也出现了类似的情况,

107114145-473	该研究显示进食障碍症患者中,有约三分之一的人曾访问过厌食主义网站,

107114145-474	且百分之九十六的人表示他们在其中学习到了新的减肥方法.

107114145-475	例如如何在每天摄取一千卡路里的情况下维持生存,

107114145-476	甚至有些人的目标是每天摄取五百卡路里.

107429026-01	责任所在

107429026-02	厌食主义网站经常与"同辈压力"的关键词联系在一起,

107429026-03	在这里,成员之间为实现最终的目标而相互鼓励支持.

107429026-04	大多数厌食主义网站里的"减肥食谱日志"内容都非常受欢迎.

107429026-05	成员们每天都会在此详细地记录下自己每天吃的东西,

107429026-06	一旁还要附上食物的卡路里.

107429026-07	为保证减肥计划的顺利进行,许多人给自己立下了非常严苛的惩罚规定.

107429026-09	阿马利娅解释道:

107429026-10	"公开自己的减肥计划并持续更新内容,可以督促自己保持减肥的动力.

107429026-11	因为知道其他人都在关注着你,

107429026-12	所以也不想让他们失望,

107429026-13	在遇到瓶颈期的时候,他们也会鼓励你."

107429026-14	博尼·奎因:

107429026-15	今天没什么可更新的,所以内容很少.

107429026-16	现在心情真的不好,

107429026-17	我需要休息,

107429026-18	需要继续走下去的动力,

107429026-19	想抽几包烟了.

107429026-20	第三天:

107429026-21	早餐,无.

107429026-22	午饭,一个薯片,两口牛奶.

107429026-23	晚饭,

107429026-24	约三百卡路里

107429026-25	第四天:

107429026-26	早饭,无

107429026-27	午饭,两个小番茄,一口牛奶.

107429026-28	零食,狂吃薯片和酸奶酱,

107429026-29	大约二百卡.

107429026-30	晚饭,

107429026-31	四根薯条和一个麦当劳肉卷.

107429026-32	只吃了四分之一,二百卡.

107429026-33	总量四百卡,

107429026-34	但是我吃了很多麦片和面包当零食.所以至少也得有五百卡.

107429026-35	烦透了.

107429026-36	我不知道一共吃进了多少卡路里.

107429026-37	因为我总控制不住吃零食.

107429026-38	我想减肥但又觉得自己的行为一直在拖后腿.

107429026-39	我必须想想未来,

107429026-40	这是能重新开始最有效的办法

107429026-41	希望大家今晚都能做个好梦,

107429026-42	不会像我一样,

107429026-43	感谢阅读.

107429026-44	一位网友

107429026-45	别给自己太大压力,亲爱的,

107429026-46	祝你一切都好.

107429026-47	另一位网友

107429026-48	你可以的!保持积极的心态,

107429026-49	呼吸呼吸新鲜空气,

107429026-50	保证充足良好的睡眠,

107429026-51	明天一定会好起来的.

107429026-52	如果你一直这么想,就永远都不知道明天可能会更好,

107429026-53	希望你能振作起来.

107429026-54	博尼·奎因:

107429026-55	谢谢楼上两位.

107429026-56	你们说得对,

107429026-57	我确实好一些了.

107429026-58	祝你们达成目标,

107429026-59	这是你们应得的.

107429026-60	再次感谢,

107429026-61	看来我只是需要一些鼓励而已.

107429026-62	然而,在这些善意积极的交流和互动背后,隐藏着极为反常和危险的想法及行为.

107429026-63	二零一三年,阿马利娅关注的一位厌食主义网红博主表示,

107429026-64	因为在圣诞假期吃得太多,她决定断食三天,

107429026-65	并号召大家一起加入.

107429026-66	几小时内,阿马利娅等十几个人表示参与断食行动以示对她的支持.

107429026-67	整整三天,

107429026-68	马利娅除了水和冰块,几乎没有吃任何东西.

107429026-69	这种极端的卡路里消耗方式非常危险,

107429026-70	且会导致突然的心理压抑状况出现.

107429026-71	二战后曾进行了一项有名的明尼苏达饥饿实验,

107429026-72	经过心理素质以及身体素质的双重考核,

107429026-73	有三十六名精挑细选的自愿者参与了这场实验.

107429026-74	实验过程中,

107429026-75	每人每天摄入的食物热量约为一千五百卡路里,

107429026-76	约为人体正常卡路里摄取量的一半,

107429026-77	但仍然比厌食症患者的摄入要多得多.

107429026-78	结果发现,这些实验者精神涣散,不愿与社会接触,且表现出显著的抑郁症,歇斯底里症及自残的倾向.

107429026-79	阿马利娅表示,

107429026-80	断食是身心的双重煎熬,

107429026-81	不过结果却是值得的.

107429026-82	阿马利娅不仅减肥成功,且用行动表示了对厌食症群体的忠诚.

107429026-83	此外,她还为另外一个厌食症女孩提供了帮助.

107429026-84	"不过事情的转折点也在这里.

107429026-85	"阿马利娅告诉我.

107429026-86	原本互帮互助的厌食症群体在不知不觉中发生了本质上的变化,

107429026-87	且往更加危险的深渊中走去.

107429026-88	维特效应

107429026-90	阿马利娅说,

107429026-91	在刚刚加入厌食症社群的前几周内,一切如常.

107429026-92	而当我第一次打开这些网站时,就被页面上的内容惊到了:

107429026-93	瘦骨嶙峋的身体,各种自杀方法的求助帖,

107429026-94	以及血淋淋的自残图片.

107429026-95	不过后来,渐渐地,浏览这些瘦弱的身材图片对我而言变得稀松平常,

107429026-96	心理的不适感很快就消失了.

107429026-97	而且社群内部的人们看起来非常和蔼友善,

107429026-98	即便他们讨论的话题是"励志减肥帖",

107429026-99	自杀,节食的建议和方案,

107429026-100	也很容易让人忘记这些言语的本质是多么危险.

107429026-101	这么说吧,不管行为本身的误导性有多大,

107429026-102	只要发现有其他人也在这么做,

107429026-103	再危险的行为也变得合情合理,甚至还会产生一种崇拜心理.

107429026-105	一七七四年,

107429026-106	德国小说家歌德发表了首部小说"少年维特之烦恼",

107429026-107	有志青年维特因无法与心爱的女人在一起,最后走上了自杀的道路.

107429026-108	这本书发行之后曾引发了诸多欧洲青年的自杀浪潮,

107429026-109	自认与主人公命运相似,试图模仿自杀的青年读者多如牛毛.

107429026-110	这种现象被后来者称为"维特效应"

107429026-111	一九六二年八月,玛丽莲·梦露自杀,

107429026-112	在此之后的一个月间,发生了一百九十七件自杀事件,

107429026-113	且当事人多为年轻的金发女性,

107429026-114	似乎也是效仿梦露的结果.

107429026-115	此外,类似的情况还有二十世纪八零年代奥地利的卧轨自杀事件,

107429026-116	本世纪初香港的"烧炭自杀潮",

107429026-117	二千零七至二零零八年南威尔士地区少年集体上吊事件,等等.

107429026-118	社会学家把这种现象称为"行为传染".

107429026-119	之所以会有维特效应,是因为人类是社会的产物,

107429026-120	我们会效仿社会中他人的行为,也会学习并模仿周围人的行为.

107429026-121	行为模式的传播方式与疾病传播并无大异,在药物滥用,青少年怀孕,自残,肥胖症的相关研究中都曾出现过这样的现象,

107429026-122	不过对幸福感和人际合作的研究中也出现了相似的结果.

107429026-123	在某些特定情况中极易触发维特效应:

107429026-124	当事人的死亡具有浪漫和英雄色彩

107429026-125	维特即是如此,

107429026-126	且受到外界大量的关注和同情.

107429026-127	这也解释了为什么每次在媒体大篇幅报道自杀行为之后,紧接着就会引发大规模的维特效应现象.

107429026-128	于是,各国媒体对自杀事件的报道设立了严格的规定.

107429026-129	例如,南威尔士地区发生集体自杀事件时,警方要求媒体停止报道事件的任何消息,

107429026-130	来控制效仿性的自杀行为

107429026-131	发生的概率.

107429026-132	与主流媒体不同,

107429026-133	事实上针对可能引起自杀威胁的报道,

107429026-134	并没有真正意义上的限制规定或条例.

107429026-135	大部分的自杀论坛会鼓励用户说出内心的感受以及背后的理由,

107429026-136	鼓励性的言辞通常是出于同情和帮助的心理,

107429026-137	然而这些同理心的背后可能会导致极为严重的后果.

107429026-138	戴维·科尼贝尔,

107429026-139	年近三十岁,是一位事业有成的电脑软件设计师,同时也是Ʊ.ǆ.Ƹ小组的活跃用户.

107429026-140	一九九二年底,他在网站上写下了一条留言:

107429026-141	嘿,Ʊ.ǆ.Ƹ的同胞们!

107429026-142	经过了长时间的研究和深思熟虑之后,

107429026-143	我决定以服用氰化钾的方式离开这里

107429026-144	这台电脑已经设置了三十六小时的待机时间,

107429026-145	时间一到就会打给九百一十一,

107429026-146	我的朋友们可以及时发现.

107429026-147	这条留言当然也是延时发送的,

107429026-148	毕竟如果有潜水网友的突然造访,那就不好了.

107429026-149	如果最终以失败告终的话,我会找人在Ʊ.ǆ.Ƹ里把这件事当作奇闻异事写一下,

107429026-150	避免后来者重蹈覆辙.

107429026-151	对了,最后一条,

107429026-152	为了防止小组因为我的自杀而受到外界攻击,

107429026-153	我在此说明,

107429026-154	Ʊ.ǆ.Ƹ小组与我的死一点儿关系也没有.

107429026-155	相反,

107429026-156	如果没有这个小组,

107429026-157	我的最佳死亡方案可能就是喝得烂醉之后从公寓楼顶跳下去.

107429026-158	我觉得现在的计划总体而言更为简洁,

107429026-159	最后祝你们拥有美满幸福的人生!

107429026-160	这是史上第一条有记录的网络遗书.

107429026-161	就在遗书发表的第二天,人们发现了戴维的遗体.

107429026-162	自杀的消息在Ʊ.ǆ.Ƹ小组上传播开来,

107429026-163	有些成员写下短篇的悼文,表达了他们的悲痛与思念:

107429026-164	戴夫,

107429026-165	如果你能看见的话,我想告诉你,

107429026-166	我们都在想你,

107429026-167	你的灵魂与我们同在.

107429026-168	也有一些人对他的行为表示十分赞赏,

107429026-169	一位用户写道:

107429026-170	难道只有我在读信的时候,感到一种莫名的喜悦吗?

107429026-171	而令人惊讶的是,

107429026-172	科尼贝尔变成了Ʊ.ǆ.Ƹ小组的守护神,

107429026-173	他就是Ʊ.ǆ.Ƹ的维特.

107429026-174	维特效应理论为自杀者提供了奇怪而诡异的行为动机,

107429026-175	这也是理解这类社群为何兼有利弊双重特性的关键所在.

107429026-176	自残论坛的基调通常是以鼓励为主,

107429026-177	且众人的集体意识很强,

107429026-178	你越是痛苦,就越容易得到他人的关注.

107429026-179	有学术研究显示,自残及厌食症的行为动机来自同一个源头:

107429026-180	释放焦虑感,孤独感,

107429026-181	疏离感及自我厌恶的情绪.

107429026-182	阿马利娅越感到痛苦,且将这种痛苦的感觉公之于众,就会获得成员们更多的同理心及关注度.

107429026-183	对于那些缺乏自尊心,而且在现实生活中没什么朋友的人来说,能够在网络中得到回应,

107429026-184	沉迷于此也不足为奇了.

107429026-185	二零一三年十一月,

107429026-186	二十一岁的加拿大学生达科塔用自身经历证明,

107429026-187	这种博取关注和同理心的行为,将会导致极为可怕的后果.

107429026-188	有一天,

107429026-189	达科塔在四ƳƸƱƾ的Ʋ板块发布了一条留言,

107429026-190	立即引来众多网友围观:

107429026-191	今晚我将结束自己的生命.

107429026-192	刚才已经做好了最后的准备,

107429026-193	一切就绪.

107429026-194	最后拜托大家一件事,

107429026-195	能不能帮我找到可以直播全程的网站.

107429026-196	有人极为识相地成立了新的"ƙƸƱǇƵƵƾ"聊天室,

107429026-197	在这个非公开的聊天室,达科塔可以向约二百名加入帖子的Ʋ板块用户,

107429026-198	利用摄像头进行直播.

107429026-199	直播开始时,对此事持怀疑态度的Ʋ区流氓们迅速涌入聊天室,

107429026-200	他们中的许多人认为,这不过是小孩子过家家的举动.

107429026-201	有网友试图劝服他不要冲动行事,

107429026-202	不过迫不及待地等待好戏开场的人也不在少数.

107429026-203	一条评论说:

107429026-204	要不要这么戏精啊,你想死就他妈赶紧的!

107429026-205	另一位也跟着回应:

107429026-206	我建议你还是到学校上吊吧.

107429026-207	消息迅速传开,

107429026-208	有数千位失意的用户一直留在Ʋ板块跟进事态的发展.

107429026-209	我操,

107429026-210	真有人他妈在聊天室直播自杀

107429026-211	你们大家怎么回事啊?

107429026-212	"达科塔用伏特加一口吞下安眠药之后,

107429026-213	聊天室的评论区就炸开了锅:

107429026-215	"天呐!天呐!

107429026-216	他玩儿真的

107429026-217	另一人还评论:

107429026-218	这哥们真是天才.

107429026-219	其他人则对此表示担忧:

107429026-220	我们是不是该想想怎么救人啊?

107429026-221	而此时,

107429026-222	达科塔开始在房间内纵火,

107429026-223	之后匍匐爬进了床底下.缩成一团的他,在键盘上敲下"死亡",

107429026-224	"哈哈哈我现在烧起来了",

107429026-225	他留下的最后一句话是:

107429026-226	"我死定了.

107429026-227	"之后屏幕一黑.

107429026-228	"我认为他已经死了.

107429026-229	"没人知道究竟发生了什么,

107429026-230	有人提议暂时不要说话.

107429026-231	突然,屏幕上闪过一道亮光,消防员破门而入,

107429026-232	没有意识到这一幕已被摄像头记录下来.

107429026-233	消防员从床底下拽出达科塔,

107429026-234	他当时已处于昏迷状态,

107429026-235	消防员裤子上闪闪发光的黄色条纹在屏幕中十分夺目.

107429026-236	"啊,

107429026-237	有医生到了.

107429026-238	他死了,

107429026-239	一切都结束了.

107429026-240	医护人员确实到场了,

107429026-241	幸运的是,达科塔活了下来.

107429026-242	而就在住院疗养的期间,

107429026-243	他的脸书主页已被各类言论轰炸.

107429026-244	在孤独世界里紧紧相连

107429026-245	然而,互联网并不会导致自残行为的发生,

107429026-246	自我伤害,暴食厌食症,以及自杀率也没有在短时间内迅速上升.

107429026-247	在英国,自杀率的长期趋势呈下降态势.

107429026-248	若按人均数来算,

107429026-249	上世纪五零年代晚期的约定自杀死亡人数甚至多于一千九百九十六—二零零五年的数据.

107429026-250	自二十世纪九零年代中期以来,

107429026-251	虽然自残事件的数量呈上升状态,

107429026-252	但趋势并不显著,

107429026-253	且在二零零三年达到峰值之后有所下降.

107429026-254	不过,互联网的出现却改变了人们呈现及经历这些心理疾病的方式.

107429026-255	这些网络世界中的成员往往年龄偏小,心理极为脆弱,且需要专业的医疗保健服务.

107429026-256	而今,之所以有许多人选择加入亚文化社群,

107429026-257	是因为当他们无处可去时,

107429026-258	这里为他们提供了避风港.

107429026-259	Ʊ.ǆ.Ƹ小组的一句

107429026-260	"在这里遇见你很抱歉"的欢迎语,其影响力远远大于当地社区医生提供的意见和建议.

107429026-261	这些网站帮助他们在茫茫人海中寻觅知音,

107429026-262	抛开有色眼镜,促膝交谈,

107429026-263	人们在其中得到了莫大的心理慰藉.

107429026-264	如果有人能够倾听自己的痛苦和苦衷,是再好不过的事.

107429026-265	有助于缓解孤独感和疏离感的网站和论坛,对解决个人心理问题起到十分重要的作用.

107429026-266	虽然学术界对此类亚文化的研究还没有定论,

107429026-267	目前的相关研究著作都一致表示,

107429026-268	同辈互助群组

107429026-269	前提是有像ƖƼ一样耐心细致的管理员

107429026-270	确实可以对患者有所帮助,

107429026-271	甚至可以说服他们寻求专业的医疗帮助.

107429026-272	撒马利坦会研究政策与发展中心主任

107429026-273	弗恩斯认为,

107429026-274	为心理疾病患者提供一处可以公开讨论自杀,自残及饮食障碍症话题的场所固然重要.

107429026-275	而同时,他也对倾听者的个人素质表示了担忧,

107429026-276	那些未经过专业训练且常常自身都处于病态的倾听对象,提供的建议和信息并不全都具有价值.

107429026-277	因为在网络中,将自身疾病视为魅力与浪漫象征的维特化身无处不在.

107429026-278	乔进一步解释,

107429026-279	这里还暗藏着另外一层风险.

107429026-280	在线上社群中,用户根本无法得知会收到怎样的建议回复.

107429026-281	有些人看似积极,对当事人的遭遇深表同情,

107429026-282	然而用户不知道的是,在现实生活中他们到底是怎样的一群人.

107429026-283	二零零八年,十九岁的加拿大女孩纳迪娅加入了Ʊ.ǆ.Ƹ小组,

107429026-284	发帖称她有自杀的想法.

107429026-285	一位叫卡米的成员回复了她的留言.

107429026-286	她告诉纳迪娅自己也被重度抑郁症困扰,

107429026-287	有时也想自杀.

107429026-288	作为一名护士,卡米也可以为两人的"共同目标"提供专业性的指导.

107429026-289	卡米

107429026-290	我是急诊护士,工作的时候见识过各种各样的自杀方法,

107429026-291	我还研究过不同的方案,哪些管用,哪些不管用,

107429026-292	我都知道.

107429026-293	最后发现"上吊"是最合适的,

107429026-294	我曾经亲身试过,

107429026-295	想知道疼痛感如何,整个过程大概多久,

107429026-296	总而言之,体验不错.

107429026-297	纳迪娅: 

107429026-298	你想什么时候行动?

107429026-299	卡米: 

107429026-300	就最近吧,

107429026-301	你呢?

107429026-302	纳迪娅: 

107429026-303	我计划在这周日.

107429026-304	卡米: 

107429026-305	好吧,

107429026-306	你打算上吊吗?

107429026-307	对了,你知道怎么用吗?

107429026-308	纳迪娅: 

107429026-309	我打算跳楼.

107429026-310	卡米: 

107429026-311	嗯,那也可以.

107429026-312	不过有许多人不想跳楼留下烂摊子,麻烦别人来打扫,

107429026-313	跳楼之前临时打退堂鼓了.

107429026-314	纳迪娅: 

107429026-315	我想把它伪装成一起意外.

107429026-316	河那边的那座桥,结冰的地方刚好有裂缝.

107429026-317	卡米: 

107429026-318	那还行,

107429026-319	本来我还想建议上吊呢.

107429026-320	纳迪娅: 

107429026-321	我想过在地铁站卧轨,

107429026-322	不过最后还是感觉这个更好.

107429026-323	卡米: 

107429026-324	嗯嗯,哎,如果你也打算上吊的话,咱俩可以一起,

107429026-325	你可能也没那么害怕了.

107429026-326	纳迪娅:

107429026-327	好吧,

107429026-328	如果我反悔了,咱俩就一起上吊.

107429026-329	卡米: 

107429026-330	好,

107429026-331	这个听起来靠谱.

107429026-332	我周一休息,

107429026-333	这个时间比较合适,或者任何时候都行.

107429026-334	卡米: 

107429026-335	你有摄像头吗?

107429026-336	纳迪娅: 

107429026-337	有.

107429026-338	卡米: 

107429026-339	好,

107429026-340	如果最后你决定上吊,我可以通过摄像头帮你,

107429026-341	根据我的经验,把绳子调整到合适的位置特别重要,

107429026-342	到时一定没问题.

107429026-343	卡米: 

107429026-344	希望能多少帮到你的忙.

107429026-345	纳迪娅: 

107429026-346	你已经帮了我很多,

107429026-347	能有人一起聊共同的话题,心里也没有那么沉重了.

107429026-348	卡米: 

107429026-349	虽然今晚我们都安静地待在家中,但我真希望咱俩现在就能一起上路.

107429026-350	纳迪娅: 

107429026-351	确定这周末自杀之后,我的心情好多了.

107429026-352	卡米: 

107429026-353	太好了,

107429026-354	我内心也很平静,

107429026-355	就算不能跟你一起死,我也会很快行动的.

107429026-356	纳迪娅:

107429026-357	那就说好了.

107429026-358	卡米: 

107429026-359	嗯嗯,

107429026-360	我保证.

107429026-361	此处省略部分对话内容

107429026-362	纳迪娅: 

107429026-363	我必须要说,跟你聊天之后我感觉好很多.

107429026-364	卡米: 

107429026-365	我也是,现在我知道自己并不是孤身一人了.

107429026-366	纳迪娅:

107429026-367	不,

107429026-368	你绝不是一个人.

107429026-369	卡米: 

107429026-370	我会在周一上路,

107429026-371	要是今晚就好了.

107429026-372	我真的不想活.

107429026-373	纳迪娅: 

107429026-374	真想知道死亡是种什么感觉.

107429026-376	卡米: 

107429026-377	很美好.

107429026-378	周一清晨,纳迪娅对室友谎称去溜冰,之后便再也没有回来.

107429026-379	六周后,人们发现了她的尸体.

107429026-380	然而,卡米并没有履行与纳迪娅的约定,赴约自杀.

107429026-381	事实上,卡米这个人根本就不存在.

107429026-382	卡米的本名叫威廉·梅尔彻特-丁克尔,是一名中年男子,

107429026-383	目前已为人父,

107429026-384	不过他的身份确实是一名护士.

107429026-385	警方表示,

107429026-386	梅尔彻特-丁克尔混迹网络多年,专门搜寻有自杀倾向的人,并且主动联系数百名世界范围内的潜在自杀者,

107429026-387	说服他们实施自杀行为.

107429026-388	梅尔彻特-丁克尔承认已有五人在他的怂恿下自杀,其中就包括纳迪娅.

107429026-389	在这些自残网站"历险"之后,

107429026-390	我发现这里并没有蓄意伤害他人的群体存在,

107429026-391	一个也没有.

107429026-392	虽说网络之大,难免会出现像梅尔彻特-丁克尔一类的人,

107429026-393	但总体而言,这些亚文化社群都非常团结友爱,

107429026-394	成员之间互相陪伴,倾诉烦恼,

107429026-395	并提出可行的方法建议相互鼓励.

107429026-396	如果你感到意志很消沉,这里绝对是释放压力,排解孤独感的绝佳场所.

107429026-397	然而这也是为什么这类社群危害性如此之大的原因.

107429026-398	它们将所有的消极行为隐藏在一片寻常,正面而又浪漫的氛围之中

107429026-399	每个人都被同伴支持的假象萦绕

107429026-400	但暗中却将这种病态转变为一种文化,

107429026-401	一种可以接受的生活方式.

107429026-402	之后,阿马利娅每天泡在厌食网站上的时间长达数小时,

107429026-403	在网站上更新近况,

107429026-404	与社群中的小伙伴互动,几乎不吃任何东西.

107429026-405	她甚至还买了一条"厌食主义"的手环戴在手上.

107429026-406	母亲苦口婆心地劝她接受心理治疗,但阿马利娅根本听不进去,

107429026-407	她害怕失去网络生活中的一切,

107429026-408	害怕与那些唯一能够了解她的人们失去联系.

107429026-409	然而被父母送到医院的阿马利娅,立即就被转送至专门的进食障碍科接受治疗.

107429026-410	经过了六个月的精心照料,阿马利娅的身体状况有所好转,开始回家休养.

107429026-411	如今的阿马利娅已经完全恢复健康,也很少泡在网络上面.

107429026-412	我问她希望给那些曾经像她一样,沉迷厌食世界的人们一些怎样的建议,

107429026-413	她回答:

107429026-414	"我想说,

107429026-415	你必须接受帮助,

107429026-416	虽然我知道你不想听这些话,

107429026-417	我一度也非常厌恶这些‘废话’.

107429026-418	但如果你现在很痴迷于这些网站,

107429026-419	那么你的心理状态很有可能出现问题了.

107429026-420	也许你认为自己并不需要帮助,

107429026-421	但无论如何,还是找个人聊一聊吧.

107429026-422	网络之外,也一定会有人理解你的痛苦,

107429026-423	"她停顿了一会,继续说,

107429026-424	"你的厌食同好们或许很理解你,

107429026-425	但他们根本帮不了你."

107980228-01	结语　

107980228-02	科技乐观主义与悲观主义之争

107980228-03	技术的转型像把双刃剑,也催生出各种各样相关的乐观与悲观理论,

107980228-04	探讨技术将会给人类和社会带来怎样的影响.

107980228-05	柏拉图的"斐德罗篇"中,

107980228-06	苏格拉底曾对书面文字的出现表示担忧,

107980228-07	他认为文字会极大地影响希腊青年一代的记忆能力,

107980228-08	变成"听过很多道理脑袋依然空空"的状态;

107980228-09	当大量的书籍借助古登堡的活字印刷术得以问世时,许多人也曾质疑铺天盖地的信息是否会让人们变得更加"困惑",无所适从.

107980228-10	虽然马可尼认为,

107980228-11	无线电会帮助人类打破"空间和时间的限制",

107980228-12	但随着其发明产品的热销,又有人担心,

107980228-13	未经世事的青少年可能会被传播的危险思想所玷污,

107980228-14	而原有的家庭组织也会因众人围坐在一起收听娱乐广播节目而分崩离析.

107980228-15	虽然并不知道,早期的智人种是否会因为"火种带来的究竟是灾难还是温暖"这类问题而起争执,

107980228-16	但是可以大胆猜测,此类问题之争一定会有.

107980228-17	在成立之初,互联网像是一块画布,

107980228-18	人们可以对它进行任意天马行空的乐观或悲观畅想.

107980228-19	阿帕网的先驱者们,眼光早已超越数据集和传播网络,

107980228-20	利用新型技术,彻底改变了人类社会的发展轨迹.

